ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
34,4,272,272,13.848,13.8714,19.6419,19.6484,48
4,16,128,128,5.42035,5.43055,23.6147,23.6236,48
35,4,280,280,14.2271,14.2455,19.6808,19.6907,48
5,16,160,160,6.12997,6.31734,26.1074,27.0005,48
7,16,224,224,9.456,9.47105,23.6887,23.6941,48
6,16,192,192,13.2794,13.3348,14.4585,14.4836,48
8,16,256,256,11.5226,11.588,22.2173,22.3314,48
9,16,288,288,12.3802,12.3975,23.263,23.275,48
10,16,320,320,14.285,14.3021,22.4012,22.4108,48
11,16,352,352,15.4403,15.4591,22.7975,22.8061,48
12,16,384,384,16.1288,16.1611,23.8084,23.8457,48
13,16,416,416,17.7895,17.8144,23.3846,23.3939,48
14,16,448,448,19.2785,19.3118,23.2383,23.2493,48
15,16,480,480,20.6975,20.7289,23.1912,23.2002,48
16,16,512,512,22.1375,22.1659,23.1282,23.1367,48
17,16,544,544,23.2249,23.2544,23.4231,23.4355,48
18,16,576,576,24.4542,24.4823,23.5543,23.5624,48
19,16,608,608,25.3089,25.3417,24.0232,24.0322,48
20,16,640,640,26.3131,26.3475,24.3225,24.3364,48
21,16,672,672,27.0517,27.0861,24.8413,24.8822,48
22,16,704,704,28.8385,28.8829,24.4119,24.442,48
23,16,736,736,30.6519,30.6902,24.0116,24.0206,48
24,16,768,768,32.0729,32.1144,23.9455,23.9559,48
25,16,800,800,32.8755,32.9169,24.3343,24.3452,48
26,16,832,832,33.5938,33.6356,24.7664,24.7826,48
27,16,864,864,34.1965,34.2452,25.2658,25.2732,48
29,16,928,928,34.3196,34.3661,27.0399,27.0495,48
28,16,896,896,35.2968,35.3402,25.3848,25.3943,48
30,16,960,960,35.5036,35.5475,27.0395,27.0498,48
31,16,992,992,37.2656,43.6951,26.6342,26.7297,48
1,8,16,16,1.30085,1.30392,12.2996,12.3057,48
32,16,1024,1024,38.6407,38.6968,26.5005,26.5059,48
33,16,1056,1056,40.0067,40.0638,26.3956,26.4137,48
34,16,1088,1088,41.0204,41.0819,26.5234,26.539,48
5,8,80,80,4.27061,4.28555,18.7327,18.7385,48
4,8,64,64,4.29671,4.30256,14.8951,14.9117,48
